state_code,state,financial_year,direction,value,signed_value
NT,Northern Territory,2022-23,Arrivals,1580,1580
NT,Northern Territory,2022-23,Departures,50,-50
NT,Northern Territory,2023-24,Arrivals,1150,1150
NT,Northern Territory,2023-24,Departures,50,-50
NT,Northern Territory,2024-25,Arrivals,970,970
NT,Northern Territory,2024-25,Departures,80,-80
ACT,Australian Capital Territory,2004-05,Arrivals,1150,1150
ACT,Australian Capital Territory,2004-05,Departures,530,-530
ACT,Australian Capital Territory,2005-06,Arrivals,1280,1280
ACT,Australian Capital Territory,2005-06,Departures,730,-730
ACT,Australian Capital Territory,2006-07,Arrivals,1610,1610
ACT,Australian Capital Territory,2006-07,Departures,730,-730
ACT,Australian Capital Territory,2007-08,Arrivals,1940,1940
ACT,Australian Capital Territory,2007-08,Departures,750,-750
ACT,Australian Capital Territory,2008-09,Arrivals,2370,2370
ACT,Australian Capital Territory,2008-09,Departures,830,-830
ACT,Australian Capital Territory,2009-10,Arrivals,2470,2470
ACT,Australian Capital Territory,2009-10,Departures,1100,-1100
ACT,Australian Capital Territory,2010-11,Arrivals,1990,1990
ACT,Australian Capital Territory,2010-11,Departures,1310,-1310
ACT,Australian Capital Territory,2011-12,Arrivals,2260,2260
ACT,Australian Capital Territory,2011-12,Departures,1620,-1620
ACT,Australian Capital Territory,2012-13,Arrivals,2430,2430
ACT,Australian Capital Territory,2012-13,Departures,1660,-1660
ACT,Australian Capital Territory,2013-14,Arrivals,3070,3070
ACT,Australian Capital Territory,2013-14,Departures,1720,-1720
ACT,Australian Capital Territory,2014-15,Arrivals,3320,3320
ACT,Australian Capital Territory,2014-15,Departures,1540,-1540
ACT,Australian Capital Territory,2015-16,Arrivals,3410,3410
ACT,Australian Capital Territory,2015-16,Departures,1530,-1530
ACT,Australian Capital Territory,2016-17,Arrivals,3960,3960
ACT,Australian Capital Territory,2016-17,Departures,1630,-1630
ACT,Australian Capital Territory,2017-18,Arrivals,4350,4350
ACT,Australian Capital Territory,2017-18,Departures,1770,-1770
