flow_id,source,target,target_name,enrolments,t,x,y
Vietnam to WA,Vietnam,WA,Western Australia,1540,0,-0.015,0.53799
Vietnam to WA,Vietnam,WA,Western Australia,1540,1,0.49999999999999994,0.53799
Vietnam to WA,Vietnam,WA,Western Australia,1540,2,0.49999999999999994,0.80177
Vietnam to WA,Vietnam,WA,Western Australia,1540,3,1.015,0.80177
Vietnam to SA,Vietnam,SA,South Australia,2190,0,-0.015,0.54099
Vietnam to SA,Vietnam,SA,South Australia,2190,1,0.49999999999999994,0.54099
Vietnam to SA,Vietnam,SA,South Australia,2190,2,0.49999999999999994,0.89384
Vietnam to SA,Vietnam,SA,South Australia,2190,3,1.015,0.89384
Vietnam to ACT,Vietnam,ACT,Australian Capital Territory,327,0,-0.015,0.54301
Vietnam to ACT,Vietnam,ACT,Australian Capital Territory,327,1,0.49999999999999994,0.54301
Vietnam to ACT,Vietnam,ACT,Australian Capital Territory,327,2,0.49999999999999994,0.9453
Vietnam to ACT,Vietnam,ACT,Australian Capital Territory,327,3,1.015,0.9453
Vietnam to TAS,Vietnam,TAS,Tasmania,175,0,-0.015,0.54342
Vietnam to TAS,Vietnam,TAS,Tasmania,175,1,0.49999999999999994,0.54342
Vietnam to TAS,Vietnam,TAS,Tasmania,175,2,0.49999999999999994,0.97225
Vietnam to TAS,Vietnam,TAS,Tasmania,175,3,1.015,0.97225
Vietnam to NT,Vietnam,NT,Northern Territory,199,0,-0.015,0.54372
Vietnam to NT,Vietnam,NT,Northern Territory,199,1,0.49999999999999994,0.54372
Vietnam to NT,Vietnam,NT,Northern Territory,199,2,0.49999999999999994,0.9976
Vietnam to NT,Vietnam,NT,Northern Territory,199,3,1.015,0.9976
Bangladesh to NSW,Bangladesh,NSW,New South Wales,10633,0,-0.015,0.57043
Bangladesh to NSW,Bangladesh,NSW,New South Wales,10633,1,0.49999999999999994,0.57043
Bangladesh to NSW,Bangladesh,NSW,New South Wales,10633,2,0.49999999999999994,0.20684
Bangladesh to NSW,Bangladesh,NSW,New South Wales,10633,3,1.015,0.20684
Bangladesh to VIC,Bangladesh,VIC,Victoria,5268,0,-0.015,0.58322
Bangladesh to VIC,Bangladesh,VIC,Victoria,5268,1,0.49999999999999994,0.58322
Bangladesh to VIC,Bangladesh,VIC,Victoria,5268,2,0.49999999999999994,0.51431
Bangladesh to VIC,Bangladesh,VIC,Victoria,5268,3,1.015,0.51431
Bangladesh to QLD,Bangladesh,QLD,Queensland,1263,0,-0.015,0.58848
Bangladesh to QLD,Bangladesh,QLD,Queensland,1263,1,0.49999999999999994,0.58848
Bangladesh to QLD,Bangladesh,QLD,Queensland,1263,2,0.49999999999999994,0.68953
Bangladesh to QLD,Bangladesh,QLD,Queensland,1263,3,1.015,0.68953
Bangladesh to WA,Bangladesh,WA,Western Australia,2621,0,-0.015,0.5916
Bangladesh to WA,Bangladesh,WA,Western Australia,2621,1,0.49999999999999994,0.5916
Bangladesh to WA,Bangladesh,WA,Western Australia,2621,2,0.49999999999999994,0.80499
Bangladesh to WA,Bangladesh,WA,Western Australia,2621,3,1.015,0.80499
Bangladesh to SA,Bangladesh,SA,South Australia,1463,0,-0.015,0.59489
Bangladesh to SA,Bangladesh,SA,South Australia,1463,1,0.49999999999999994,0.59489
Bangladesh to SA,Bangladesh,SA,South Australia,1463,2,0.49999999999999994,0.89666
Bangladesh to SA,Bangladesh,SA,South Australia,1463,3,1.015,0.89666
Bangladesh to ACT,Bangladesh,ACT,Australian Capital Territory,252,0,-0.015,0.59627
Bangladesh to ACT,Bangladesh,ACT,Australian Capital Territory,252,1,0.49999999999999994,0.59627
Bangladesh to ACT,Bangladesh,ACT,Australian Capital Territory,252,2,0.49999999999999994,0.94574
Bangladesh to ACT,Bangladesh,ACT,Australian Capital Territory,252,3,1.015,0.94574
Bangladesh to TAS,Bangladesh,TAS,Tasmania,424,0,-0.015,0.59681
Bangladesh to TAS,Bangladesh,TAS,Tasmania,424,1,0.49999999999999994,0.59681
Bangladesh to TAS,Bangladesh,TAS,Tasmania,424,2,0.49999999999999994,0.97271
